procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0     0  405  212  0  0 100  0  0
 3  1      0 4539536  44636 4426772    0    0     0   124  507  514  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0   200  448  246  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  390  169  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  459  214  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  617  608  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  381  192  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 4539536  44636 4426772    0    0     0    36 1950 2245  3  3 94  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  466  438  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  509  411  1  0 98  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  508  379  2  0 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  534  381  2  0 98  0  0
 2  0      0 4539536  44636 4426772    0    0     0   276  519  346  1  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0    80  466  420  1  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  388  248  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  341  177  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  350  159  0  0 100  0  0
 3  0      0 4539536  44636 4426772    0    0     0    36  603  453  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0    64 1391 1497  0  3 97  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  481  360  1  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  546  360  1  0 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  374  238  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     8  346  175  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   376  637  546  2  1 97  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  370  188  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  485  337  2  0 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  425  249  1  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  509  296  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0   124 1890 1913  1  4 96  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  460  310  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  404  283  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  552  325  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     4  342  164  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   316  410  250  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  378  244  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  349  210  0  0 100  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  526  418  2  0 98  0  0
 1  0      0 4539536  44636 4426772    0    0   588    32  795  454  1  1 97  0  0
 2  0      0 4539536  44636 4426772    0    0     0    28 1380 1523  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  545  356  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  356  170  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  397  220  0  0 100  0  0
 2  0      0 4539536  44636 4426772    0    0     0   444  494  295  1  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  558  389  2  0 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  998  806  1  2 97  0  0
 1  0      0 4539536  44636 4426772    0    0     0   308 1055  647  1  1 97  1  0
 1  0      0 4539536  44636 4426772    0    0     0     0  661  282  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0   108  666  273  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  637  271  0  0 100  0  0
